Reference map data
Chair,4,4,0.77993,0.0542228
Table,5,2,0.820117,0.0984879
Shelf,1,0,0.578356,0.115627
Sofa bed,2,0,0.781341,0.113038
Cleared reference map data
Chair,4,4,0.77993,0.0542228
Table,5,2,0.820117,0.0984879
Shelf,1,0,0.578356,0.115627
Sofa bed,2,0,0.781341,0.113038
Fused map data
Chair,4,1,0.767481,0.0654341
Table,5,0,0.8907,0.0681495
Shelf,1,0,0.575875,0.115986
Sofa bed,2,0,0.826337,0.0887171
Fused map data
Chair,4,1,0.781191,0.0620431
Table,5,0,0.90259,0.0519623
Shelf,1,0,0.577291,0.115876
Sofa bed,2,0,0.824658,0.0903355
Fused map data
Chair,4,2,0.760275,0.0682201
Table,5,0,0.870655,0.087632
Shelf,1,0,0.574138,0.116459
Sofa bed,2,0,0.790475,0.110751
Fused map data
Chair,4,2,0.747783,0.0701636
Table,5,0,0.812152,0.167448
Shelf,1,0,0.569274,0.118268
Sofa bed,2,0,0.785211,0.110625
Fused map data
Chair,4,1,0.785019,0.0599693
Table,5,0,0.863549,0.0698343
Shelf,1,0,0.578356,0.115627
Sofa bed,2,0,0.832469,0.0842178
Fused map data
Chair,4,1,0.78217,0.0614575
Table,5,0,0.906999,0.0596715
Shelf,1,0,0.584494,0.113686
Sofa bed,2,0,0.781174,0.113081
Fused map data
Chair,4,2,0.767899,0.0637808
Table,5,0,0.878147,0.0715729
Shelf,1,0,0.578356,0.115627
Sofa bed,2,0,0.78041,0.113307
Fused map data
Chair,4,1,0.778595,0.0616869
Table,6,0,0.809512,0.154916
Shelf,1,0,0.582293,0.110727
Sofa bed,2,0,0.77052,0.119729
Fused map data
Chair,4,0,0.798048,0.0552046
Table,6,0,0.877433,0.0657776
Shelf,1,0,0.571537,0.116923
Sofa bed,2,0,0.819783,0.0935667
Fused map data
Chair,4,2,0.808,0.0535145
Table,5,0,0.903818,0.0518705
Shelf,1,0,0.57946,0.113924
Sofa bed,2,0,0.809332,0.103206
