Class name,TP, FP, FN - Missing objects, Mean IOU, Mean CoM offset, Mean orientation offset
Table,6,0,0,0.935339,0.0314587,0.785568
Fused map data
Chair,5,0,0,0.793506,0.0513763,1.85958
Couch,3,0,0,0.884845,0.0700742,1.69521
Shelf,3,0,0,0.905895,0.0218205,1.24405
Table,6,0,0,0.935827,0.0313407,0.717707
Fused map data
Chair,5,0,0,0.796481,0.0505978,1.74742
Couch,3,0,0,0.894275,0.0678221,1.61555
Shelf,3,0,0,0.884736,0.0274929,1.1733
Table,6,0,0,0.940215,0.0279722,0.657823
Fused map data
Chair,5,0,0,0.804143,0.0470631,1.77066
Couch,3,0,0,0.906239,0.0668527,1.29472
Shelf,3,0,0,0.880623,0.0337824,0.817177
Table,6,0,0,0.936016,0.0287895,0.695765
Fused map data
Chair,5,0,0,0.803872,0.0467591,1.56674
Couch,3,0,0,0.917904,0.0562153,0.98339
Shelf,3,0,0,0.88541,0.0305593,0.973853
Table,6,0,0,0.93627,0.0301763,0.661001
Fused map data
Chair,5,0,0,0.81166,0.0443752,1.64431
Couch,3,0,0,0.910038,0.057209,0.961161
Shelf,3,0,0,0.914462,0.022414,0.80334
Table,6,0,0,0.943617,0.0256497,0.544659
Fused map data
Chair,5,0,0,0.815811,0.0430087,1.45114
Couch,3,0,0,0.895112,0.0632094,1.59624
Shelf,3,0,0,0.926614,0.0167568,0.685158
Table,6,0,0,0.943015,0.0249569,0.409841
Fused map data
Chair,5,0,0,0.814631,0.0433256,1.59766
Couch,3,0,0,0.899201,0.0540534,1.36076
Shelf,3,0,0,0.926614,0.0167568,0.685158
Table,6,0,0,0.939987,0.0292536,0.448977
Fused map data
Chair,5,0,0,0.820253,0.0413651,1.31073
Couch,3,0,0,0.899759,0.0538556,1.44081
Shelf,3,0,0,0.931142,0.0162415,0.790068
Table,6,0,0,0.935849,0.0306488,0.537441
Fused map data
Chair,5,0,0,0.829937,0.0382409,1.26425
Couch,3,0,0,0.913273,0.0444665,1.40674
Shelf,3,0,0,0.91568,0.017889,0.61441
Table,6,0,0,0.938965,0.027981,0.571892
Fused map data
Chair,5,0,0,0.830339,0.0370889,1.3341
Couch,3,0,0,0.888356,0.0536872,2.00123
Shelf,3,0,0,0.908668,0.020038,0.64907
Table,6,0,0,0.943726,0.0257329,0.535553
Fused map data
Chair,5,0,0,0.82195,0.0400659,1.34298
Couch,3,0,0,0.897566,0.049488,1.57444
Shelf,3,0,0,0.890005,0.0246832,0.9458
Table,6,0,0,0.944719,0.0233074,0.472325
Fused map data
Chair,5,0,0,0.82378,0.0393014,1.36454
Couch,3,0,0,0.899454,0.0494439,1.46134
Shelf,3,0,0,0.877734,0.030794,0.841582
Table,6,0,0,0.941692,0.0233066,0.443306
