New map data
Chair,5,0,0.71195,0.718546,0.0806873,0.0505342
Table,6,0,0.861426,0.745615,0.0599055,0.162075
Shelf,3,0,0.852829,0.815141,0.036199,0.0511098
Couch,3,0,0.92771,0.800372,0.0330521,0.112253
New map data
Chair,5,0,0.725684,0.727616,0.0710092,0.0493113
Table,6,0,0.931715,0.764175,0.0271682,0.167003
Shelf,3,0,0.830117,0.886533,0.0459162,0.0284049
Couch,3,0,0.954466,0.81892,0.0173682,0.114032
New map data
Chair,5,0,0.74907,0.727799,0.0465086,0.0634407
Table,6,0,0.929545,0.57829,0.032841,0.344687
Shelf,3,0,0.866922,0.822687,0.0309164,0.0529606
Couch,3,0,0.899636,0.722086,0.0462329,0.184064
New map data
Chair,5,0,0.745502,0.728338,0.072117,0.0610479
Table,6,0,0.954008,0.889851,0.0228496,0.0630698
Shelf,3,0,0.846855,0.887634,0.0401678,0.012567
Couch,3,0,0.919701,0.813598,0.0399448,0.107706
New map data
Chair,5,0,0.753341,0.646957,0.0788796,0.0714181
Table,6,0,0.949277,0.676303,0.0192774,0.217021
Shelf,3,0,0.887549,0.820161,0.0383834,0.0674692
Couch,3,0,0.903095,0.729174,0.0479284,0.111587
New map data
Chair,5,0,0.754405,0.699916,0.0596681,0.0739198
Table,6,0,0.902517,0.748959,0.039647,0.189056
Shelf,3,0,0.909301,0.883395,0.0257144,0.0215469
Couch,3,0,0.928714,0.709715,0.0372386,0.201024
New map data
Chair,4,1,0.754693,0.725135,0.0613206,0.0554111
Table,6,0,0.933337,0.82005,0.0255252,0.107914
Shelf,3,0,0.881669,0.90572,0.0300488,0.0117803
Couch,3,0,0.922956,0.792907,0.0345012,0.0968068
New map data
Chair,5,0,0.697566,0.690029,0.101501,0.0671928
Table,6,0,0.929056,0.811472,0.0319598,0.117696
Shelf,3,0,0.895836,0.88737,0.0322693,0.0268997
Couch,3,0,0.959638,0.790537,0.0120717,0.0964519
New map data
Chair,5,0,0.748549,0.71824,0.0616818,0.0551044
Table,6,0,0.923129,0.731411,0.0318928,0.193951
Shelf,3,0,0.882914,0.89802,0.0348478,0.0170091
Couch,3,0,0.862212,0.854774,0.0698241,0.0867647
New map data
Chair,5,0,0.788396,0.755183,0.0488598,0.0510148
Table,6,0,0.928483,0.824448,0.0257077,0.126705
Shelf,3,0,0.873938,0.885211,0.0346226,0.0319143
Couch,3,0,0.913802,0.818416,0.0379629,0.090848
New map data
Chair,5,0,0.731743,0.740204,0.0704436,0.0398414
Table,6,0,0.900544,0.673179,0.0447926,0.24815
Shelf,3,0,0.857018,0.831453,0.0330972,0.0360681
Couch,3,0,0.936412,0.8371,0.0330027,0.0921912
New map data
Chair,5,0,0.705063,0.582875,0.0871367,0.100903
Table,6,0,0.924471,0.72175,0.0319282,0.215256
Shelf,3,0,0.883487,0.858032,0.0329163,0.0398057
Couch,3,0,0.941353,0.847589,0.0233478,0.0766784
New map data
Chair,5,0,0.759835,0.74449,0.0574151,0.0637145
Table,6,0,0.918517,0.832892,0.0392139,0.102398
Shelf,3,0,0.865069,0.867396,0.0298097,0.0186753
Couch,3,0,0.917597,0.779525,0.0485161,0.119802
New map data
Chair,5,0,0.700553,0.689313,0.07383,0.0791805
Table,6,0,0.934321,0.854175,0.0252815,0.0935513
Shelf,3,0,0.883489,0.844767,0.0237684,0.0360336
Couch,3,0,0.787614,0.76553,0.106638,0.116756
New map data
Chair,5,0,0.77828,0.705418,0.0545239,0.0644673
Table,6,0,0.920083,0.727298,0.0353412,0.19817
Shelf,3,0,0.780282,0.650528,0.0547915,0.108926
Couch,3,0,0.877117,0.672946,0.0593226,0.160413
New map data
Chair,5,0,0.759242,0.742365,0.0622203,0.0410831
Table,6,0,0.93407,0.809672,0.031481,0.136167
Shelf,3,0,0.876679,0.817302,0.0288939,0.0564327
Couch,3,0,0.897896,0.775405,0.0478228,0.112382
New map data
Chair,5,0,0.776189,0.744762,0.0477989,0.0453644
Table,6,0,0.896946,0.630075,0.046774,0.243896
Shelf,3,0,0.860033,0.861922,0.0351321,0.0328363
Couch,3,0,0.855578,0.752854,0.0736044,0.120968
New map data
Chair,5,0,0.780146,0.5977,0.0443071,0.0935798
Table,6,0,0.921268,0.719552,0.0384997,0.21556
Shelf,3,0,0.865674,0.730533,0.0437764,0.108622
Couch,3,0,0.929909,0.810232,0.0308292,0.112794
New map data
Chair,5,0,0.812982,0.762099,0.0590679,0.0492642
Table,6,0,0.914597,0.763247,0.0407512,0.172216
Shelf,3,0,0.90011,0.850508,0.0271011,0.0288332
Couch,3,0,0.91492,0.582128,0.0461803,0.256219
New map data
Chair,5,0,0.727375,0.708264,0.07849,0.0354661
Table,6,0,0.919203,0.825416,0.0349941,0.109936
Shelf,3,0,0.853749,0.86417,0.0390216,0.0335132
Couch,3,0,0.891426,0.755174,0.0519779,0.158726
